file	t	f0	intensity
 1.wav	1.192	--undefined--	9.967913000712741
 1.wav	1.197	--undefined--	9.926012053367112
 1.wav	1.202	--undefined--	9.942010058582829
 1.wav	1.207	--undefined--	10.02206736598483
 1.wav	1.212	--undefined--	10.15369220985275
 1.wav	1.217	--undefined--	10.30360780540578
 1.wav	1.222	--undefined--	10.432287513357469
 1.wav	1.227	--undefined--	10.504197675127436
 1.wav	1.232	--undefined--	10.50478405516633
 1.wav	1.237	--undefined--	10.44344260474643
 1.wav	1.242	--undefined--	10.350462214819228
 1.wav	1.247	--undefined--	10.26569422857767
 1.wav	1.252	--undefined--	10.218142645375622
 1.wav	1.257	--undefined--	10.21298465496921
 1.wav	1.262	--undefined--	10.233382705732303
 1.wav	1.267	--undefined--	10.254146036348287
 1.wav	1.272	--undefined--	10.257393056706434
 1.wav	1.277	--undefined--	10.237420905277313
 1.wav	1.282	--undefined--	10.197038451094343
 1.wav	1.287	--undefined--	10.143019641314437
 1.wav	1.292	--undefined--	10.079133069534727
 1.wav	1.297	--undefined--	10.01134295167323
 1.wav	1.302	--undefined--	9.948240520678322
 1.wav	1.307	--undefined--	9.904124118564155
 1.wav	1.312	--undefined--	9.89531056590243
 1.wav	1.317	--undefined--	9.930776148175289
 1.wav	1.322	--undefined--	10.007354809171943
 1.wav	1.327	--undefined--	10.111299604509558
 1.wav	1.332	--undefined--	10.22895136998869
 1.wav	1.337	--undefined--	10.349852500872112
 1.wav	1.342	--undefined--	10.470234642460499
 1.wav	1.347	--undefined--	10.583153344721616
 1.wav	1.352	--undefined--	10.678087456422512
 1.wav	1.357	--undefined--	10.73895726434091
 1.wav	1.362	--undefined--	10.754283815217411
 1.wav	1.367	--undefined--	10.72245096323315
 1.wav	1.372	--undefined--	10.655765822091388
 1.wav	1.377	--undefined--	10.578247593169225
 1.wav	1.382	--undefined--	0
 1.wav	1.387	--undefined--	0
 1.wav	1.392	--undefined--	0
 1.wav	1.397	--undefined--	0
 1.wav	1.402	--undefined--	0
 1.wav	1.407	--undefined--	0
 1.wav	1.412	0	0
2.wav	0.025	0	0
 2.wav	0.03	--undefined--	0
 2.wav	0.035	--undefined--	0
 2.wav	0.04	--undefined--	0
 2.wav	0.045	--undefined--	0
 2.wav	0.05	--undefined--	0
 2.wav	0.055	--undefined--	0
 2.wav	0.06	--undefined--	0
 2.wav	0.065	--undefined--	-2.5931934413774274
 2.wav	0.07	--undefined--	-2.6802583199313617
 2.wav	0.075	--undefined--	-2.762999588800076
 2.wav	0.08	--undefined--	-2.843787336351901
 2.wav	0.085	--undefined--	-2.869065314945971
 2.wav	0.09	--undefined--	-2.7433599336919743
 2.wav	0.095	--undefined--	-2.27621236522956
 2.wav	0.1	--undefined--	-1.2248749713306266
 2.wav	0.105	--undefined--	0.47104537599060603
 2.wav	0.11	--undefined--	2.5263794890545888
 2.wav	0.115	--undefined--	4.607067039377875
 2.wav	0.12	--undefined--	6.4685413495401285
 2.wav	0.125	--undefined--	8.02664654560682
 2.wav	0.13	--undefined--	9.244851047117962
 2.wav	0.135	--undefined--	10.14997620534727
 2.wav	0.14	--undefined--	10.769285640070747
 2.wav	0.145	--undefined--	11.158563797272613
 2.wav	0.15	--undefined--	11.3728123960884
 2.wav	0.155	--undefined--	11.474552122615457
 2.wav	0.16	--undefined--	11.515432904312298
 2.wav	0.165	--undefined--	11.532022450866675
 2.wav	0.17	--undefined--	11.54043960599335
 2.wav	0.175	--undefined--	11.539967106612096
 2.wav	0.18	--undefined--	11.520053193152739
 2.wav	0.185	--undefined--	11.470587712145221
 2.wav	0.19	--undefined--	11.387185663636853
 2.wav	0.195	--undefined--	11.273801834732865
 2.wav	0.2	--undefined--	11.143629322011886
 2.wav	0.205	--undefined--	11.01493391019754
 2.wav	0.21	--undefined--	10.906503913501982
 2.wav	0.215	--undefined--	10.828072467839787
 2.wav	0.22	--undefined--	10.780978603441378
 2.wav	0.225	--undefined--	10.756522240739992
 2.wav	0.23	--undefined--	10.740798086308246
 2.wav	0.235	--undefined--	10.720754428001907
 2.wav	0.24	--undefined--	10.69111462385756
 2.wav	0.245	--undefined--	10.656710967193657
 2.wav	0.25	--undefined--	10.633940128137107
 2.wav	0.255	--undefined--	10.644714922827358
 2.wav	0.26	--undefined--	10.70189481851056
 2.wav	0.265	--undefined--	10.802235170571677
 2.wav	0.27	--undefined--	10.928847047263766
 2.wav	0.275	--undefined--	11.061077623805197
 2.wav	0.28	--undefined--	11.17859299550933
 2.wav	0.285	--undefined--	11.274059648344084
 2.wav	0.29	--undefined--	11.345641465363212
 2.wav	0.295	--undefined--	11.397167755728129
 2.wav	0.3	--undefined--	11.42948168023615
 2.wav	0.305	--undefined--	11.441024668891913
 2.wav	0.31	--undefined--	11.427445076323535
 2.wav	0.315	--undefined--	11.383817545221932
 2.wav	0.32	--undefined--	11.310014546172075
 2.wav	0.325	--undefined--	11.208474163744997
 2.wav	0.33	--undefined--	11.088765425463361
 2.wav	0.335	--undefined--	10.962610512502032
 2.wav	0.34	--undefined--	10.845050707546282
 2.wav	0.345	--undefined--	10.747841362695716
 2.wav	0.35	--undefined--	10.677795709862522
 2.wav	0.355	--undefined--	10.631855648581537
 2.wav	0.36	--undefined--	10.60362936399962
 2.wav	0.365	--undefined--	10.588068944791127
 2.wav	0.37	--undefined--	10.589695714181484
 2.wav	0.375	--undefined--	10.621849980088916
 2.wav	0.38	--undefined--	10.69563631760297
 2.wav	0.385	--undefined--	10.808239736752318
 2.wav	0.39	--undefined--	10.935237355867828
 2.wav	0.395	--undefined--	11.044267460324942
 2.wav	0.4	--undefined--	11.105871986869339
 2.wav	0.405	--undefined--	11.110334877932587
 2.wav	0.41	--undefined--	11.06840155895226
 2.wav	0.415	--undefined--	11.004304774774685
 2.wav	0.42	--undefined--	10.945312106017202
 2.wav	0.425	--undefined--	10.906566508951922
 2.wav	0.43	--undefined--	10.888340699615554
 2.wav	0.435	--undefined--	10.878108063632228
 2.wav	0.44	--undefined--	10.862709517897457
 2.wav	0.445	--undefined--	10.835800137580119
 2.wav	0.45	--undefined--	10.801541514236217
 2.wav	0.455	--undefined--	10.771838927231713
 2.wav	0.46	--undefined--	10.759979374609255
 2.wav	0.465	--undefined--	10.77359459970806
 2.wav	0.47	--undefined--	10.810612317686868
 2.wav	0.475	--undefined--	10.860032394443277
 2.wav	0.48	--undefined--	10.90520955628506
 2.wav	0.485	--undefined--	10.929293000011347
 2.wav	0.49	--undefined--	10.921157042850599
 2.wav	0.495	--undefined--	10.880960047664146
 2.wav	0.5	--undefined--	10.822081149278906
 2.wav	0.505	--undefined--	10.765892276558626
 2.wav	0.51	--undefined--	10.73600698737824
 2.wav	0.515	--undefined--	10.744916871028948
 2.wav	0.52	--undefined--	10.78992357136785
 2.wav	0.525	--undefined--	10.855854800664279
 2.wav	0.53	--undefined--	10.92230678612719
 2.wav	0.535	--undefined--	10.97385436607756
 2.wav	0.54	--undefined--	11.001192618660943
 2.wav	0.545	--undefined--	11.00252910749136
 2.wav	0.55	--undefined--	10.979383948657924
 2.wav	0.555	--undefined--	10.93565533684121
 2.wav	0.56	--undefined--	10.878451056070235
 2.wav	0.565	--undefined--	10.818239138828702
 2.wav	0.57	--undefined--	10.770172104498577
 2.wav	0.575	--undefined--	10.748016791747393
 2.wav	0.58	--undefined--	10.758625168429914
 2.wav	0.585	--undefined--	10.795979707482848
 2.wav	0.59	--undefined--	10.841963859068535
 2.wav	0.595	--undefined--	10.875087243792299
 2.wav	0.6	--undefined--	10.878593014910363
 2.wav	0.605	--undefined--	10.847524605424413
 2.wav	0.61	--undefined--	10.79059992362813
 2.wav	0.615	--undefined--	10.723745396113564
 2.wav	0.62	--undefined--	10.664876235853685
 2.wav	0.625	--undefined--	10.624643045699058
 2.wav	0.63	--undefined--	10.605476406858894
 2.wav	0.635	--undefined--	10.602928020217547
 2.wav	0.64	--undefined--	10.607534428318635
 2.wav	0.645	--undefined--	10.611490144279374
 2.wav	0.65	--undefined--	10.604799252467647
 2.wav	0.655	--undefined--	10.626554146224493
 2.wav	0.66	--undefined--	10.582227374749175
 2.wav	0.665	--undefined--	10.634161555885752
 2.wav	0.67	--undefined--	10.750878042608168
 2.wav	0.675	--undefined--	11.521803934732597
 2.wav	0.68	--undefined--	13.284073818643488
 2.wav	0.685	--undefined--	15.910294726075303
 2.wav	0.69	--undefined--	18.775489433310675
 2.wav	0.695	161.62047457410225	21.567636927575094
 2.wav	0.7	160.8415080768056	24.04307500929237
 2.wav	0.705	158.52955430789748	26.186398359696344
 2.wav	0.71	155.70888393115084	27.98101867808386
 2.wav	0.715	153.15790442150077	29.497395375212598
 2.wav	0.72	151.27405539799489	30.757388823484444
 2.wav	0.725	150.22793859082407	31.829166341455736
 2.wav	0.73	149.8737940607768	32.76993870651466
 2.wav	0.735	149.86775546906702	33.77784637134221
 2.wav	0.74	149.80924902942095	35.111259581159615
 2.wav	0.745	149.41285950146667	36.96333495392291
 2.wav	0.75	148.59143468233228	39.237085375418566
 2.wav	0.755	147.42397540446999	41.65303944375947
 2.wav	0.76	145.93562406136311	43.9261140119235
 2.wav	0.765	144.35669726223486	45.945322917747696
 2.wav	0.77	143.35659916431177	47.656298346076525
 2.wav	0.775	143.54187191244355	49.09225342138293
 2.wav	0.78	144.81109897910372	50.286640952677296
 2.wav	0.785	146.68434574446013	51.30903248532235
 2.wav	0.79	148.7073756033875	52.20651733319251
 2.wav	0.795	150.5235389368406	53.028883276826555
 2.wav	0.8	151.96493529836258	53.78921845700277
 2.wav	0.805	153.01826515184518	54.49575727425519
 2.wav	0.81	153.78392031543925	55.135282277371616
 2.wav	0.815	154.34964190944325	55.70778589806068
 2.wav	0.82	154.74732651296858	56.20792425127733
 2.wav	0.825	154.96742115345836	56.64459195553599
 2.wav	0.83	155.06891629111976	57.01962710320757
 2.wav	0.835	155.09158540431653	57.33999409951231
 2.wav	0.84	155.04984769636695	57.603088710123146
 2.wav	0.845	154.92582067915112	57.809158285975
 2.wav	0.85	154.70248584998004	57.954227869573714
 2.wav	0.855	154.38170166715068	58.038648194034366
 2.wav	0.86	153.95989306138145	58.06300943899784
 2.wav	0.865	153.41558179355638	58.030715089239926
 2.wav	0.87	152.70513628476388	57.94662260888163
 2.wav	0.875	151.82319705035349	57.815578861765985
 2.wav	0.88	150.7874779608595	57.645117143140865
 2.wav	0.885	149.66925749310155	57.441425287247384
 2.wav	0.89	148.52367920656008	57.21441563654987
 2.wav	0.895	147.38288645813458	56.96963659076243
 2.wav	0.9	146.22036558344539	56.714947501958605
 2.wav	0.905	145.00374109358316	56.4492563234128
