file	t	f0	F1	F2	F3	H1c	H2c	H4c	A1c	A2c	A3c	H2Ku	H5Ku	H1u	H2u	H4u	A1u	A2u	A3u	B1	B2	B3	H1H2c	H2H4c	H1A1c	H1A2c	H1A3c	H2KH5Ku	H1H2u	H2H4u	H1A1u	H1A2u	H1A3u	CPP	HNR05	HNR15	HNR25	HNR35	intensity
 1.wav	0.152	--undefined--	1072.538	1651.466	2806.572	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	14.082	-2.9316334813875864	-1.29968438682445	-2.936280124188314	-3.217905433818227	11.68052868319938
 1.wav	0.157	--undefined--	1185.082	1605.742	2876.006	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	13.903	-0.6081476243142325	-2.1828661338789517	-2.5602905682556854	-2.7121249063620123	11.692535006903073
 1.wav	0.162	--undefined--	1245.905	1787.029	2817.28	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	14.903	-1.8590072484520845	-2.74045540134082	-3.3993694231953535	-2.7253310959014905	11.661843351686924
 1.wav	0.167	--undefined--	1346.712	2059.793	2910.94	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	15.853	-2.753174493836493	-1.4444521588374832	-3.681788895084834	-4.076869257149623	11.60783787453135
 1.wav	0.172	--undefined--	1257.71	1949.18	2922.728	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	14.446	-2.736188264026871	-1.1092985215511335	-3.6333232531618935	-4.29792758569204	11.53533902555955
 1.wav	0.177	--undefined--	1278.902	1822.024	3013.981	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	13.329	1.6763097188923304	-1.7891951882841979	-4.678856800425668	-5.008131666353992	11.442088611463516
 1.wav	0.182	--undefined--	1350.475	1827.001	2893.52	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	13.555	-2.11015259532402	-0.4952138621109375	-4.089806752398112	-4.363319552344438	11.326651374563482
 1.wav	0.187	--undefined--	1120.948	1867.321	2792.634	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	14.41	-1.1905818689275474	-0.03581744627427592	-4.230751200809835	-4.161847368584838	11.19338671988456
 1.wav	0.192	--undefined--	1018.875	1814.903	2823.558	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	14.755	-1.4298591750936702	-1.4836403659067927	-2.4418125726291957	-3.750459012974443	11.051470459849126
 1.wav	0.197	--undefined--	1016.961	1816.02	2873.965	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	15.589	0.6108630325630025	-1.8906591099086434	-2.3993306854962864	-4.992102403116362	10.918687961135852
 1.wav	0.202	--undefined--	1017.173	1854.743	2798.769	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	12.256	2.4609582457694748	-2.652534783234679	-3.137411205412101	-5.327128368692416	10.810065413492886
 1.wav	0.207	--undefined--	1041.907	1943.05	2820.494	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	12.57	1.3484887880158531	-2.80247489302847	-3.566513196365701	-4.588674238425822	10.74129764887748
