file	label	t	f0	F1	F2	F3	H1c	H2c	H4c	A1c	A2c	A3c	H2Ku	H5Ku	H1u	H2u	H4u	A1u	A2u	A3u	B1	B2	B3	H1H2c	H2H4c	H1A1c	H1A2c	H1A3c	H2KH5Ku	H1H2u	H2H4u	H1A1u	H1A2u	H1A3u	CPP	HNR05	HNR15	HNR25	HNR35	intensity
 1.wav	a	0.758	149.05423605308007	753.294	1335.783	2932.406	79.27264857768336	78.66865775328625	76.85963475682053	65.86013957123203	68.73888789962217	86.0290701625209	62.331209843183174	54.780546804715975	79.72807305243387	80.58969089271417	87.27720751082275	94.16201683367447	91.30327119217486	78.84101571669342	42.55940246242704	46.66372921827403	129.8425822884781	0.6039908243971013	1.8090229964657283	13.41250900645133	10.533760678061185	-6.75642158483754	7.550663038467199	-0.861617840280303	-6.687516618108575	-14.4339437812406	-11.57519813974099	0.887057335740451	25.476	31.000240760778944	16.571234184684343	16.44470811415497	15.107962032238335	58.12816281686116
 1.wav	a	0.763	149.18660186398245	763.294	1337.76	2934.281	79.3032733492627	78.63437813228413	76.43808932115527	65.33316305100828	68.82143803317973	85.5134421534065	62.38978363004209	57.07435729206278	79.75001490610752	80.51600470669644	86.51445619917034	93.82967951737936	91.69032765450797	78.56928951537226	42.640407533311304	46.70706535209596	130.0519925207954	0.6688952169785694	2.196288811128852	13.970110298254411	10.481835316082964	-6.210168804143805	5.315426337979311	-0.7659898005889119	-5.9984514924739045	-14.079664611271838	-11.940312748400444	1.1807253907352617	27.415	38.548006266283174	19.122455272418783	18.956353011447256	17.164357976187553	58.20133136091176
 1.wav	a	0.768	149.20682798495784	774.364	1341.394	2930.452	79.3450810142346	78.64916902056389	76.26689113211488	64.86114931221599	68.54992701383091	84.14256468837067	62.54145221941982	58.486791723840824	79.78160929662859	80.48476343681047	85.96445316568744	93.56784267040807	91.73540260349148	77.58879801287677	42.712881715271095	46.758909634536636	129.72666833506693	0.6959119936707054	2.3822778884490106	14.483931702018609	10.795154000403684	-4.797483674136075	4.054660495578993	-0.7031541401818799	-5.479689728876977	-13.786233373779481	-11.953793306862892	2.1928112837518228	30.071	34.11933253635145	20.221326081774443	19.99464524962391	17.889247087901335	58.21299532814191
 1.wav	a	0.773	149.14079630224293	780.956	1342.79	2923.623	79.34172106933872	78.63293171621305	76.05715699614962	64.42856354082089	68.23291796595775	82.96429224841705	62.58683376589253	58.03209723258757	79.77203400338549	80.44058909130968	85.53086550525461	93.26757126417881	91.61981054596882	76.70586071789364	42.745766509559076	46.769610930718486	129.11173733601356	0.7087893531256668	2.5757747200634356	14.913157528517829	11.108803103380964	-3.622571179078335	4.554736533304961	-0.6685550879241902	-5.090276413944935	-13.495537260793327	-11.847776542583333	3.0661732854918426	28.814	34.2616468017243	20.53054173711321	20.30461062568266	18.22591861133684	58.1779419753253
 1.wav	a	0.778	148.9933046089733	787.015	1344.553	2927.953	79.28788183952928	78.55464298487703	75.63759364502533	63.82964197534338	67.67166127336833	82.03479102025923	62.2674828701355	56.36935881851176	79.71203977075092	80.33475799181852	84.89745601982492	92.78944870670601	91.23786831246716	75.88178124238325	42.76515358746291	46.77509709456588	129.43503118027957	0.7332388546522424	2.917049339851701	15.458239864185899	11.616220566160948	-2.7469091807299577	5.898124051623739	-0.6227182210676006	-4.562698028006395	-13.077408935955091	-11.525828541716237	3.830258528367665	29.299	34.54389973839251	19.193612575240625	19.02263045953191	17.92370124235041	58.11238923052453
 1.wav	a	0.783	148.74517087519644	797.012	1352.226	2904.837	79.2193401128596	78.47443195778408	75.36115218446986	63.276865911940405	66.59138843602327	80.73321088273738	61.98443362448485	55.32926346585579	79.63286769425379	80.20734923328601	84.27265943903508	92.40390769885936	90.37732539267891	75.33207326641298	42.79501127038035	46.85017659011561	127.35454734147642	0.744908155075521	3.1132797733142183	15.942474200919193	12.627951676836332	-1.5138707698777836	6.655170158629062	-0.5744815390322202	-4.065310205749071	-12.771040004605567	-10.744457698425123	4.300794427840813	28.91	33.218948618339056	17.932819051853	17.750616359687307	17.027429663276244	58.03508826786414
 1.wav	a	0.788	148.4015938505469	804.492	1358.501	2870.255	79.12499937510788	78.37460099400624	75.08349459287457	62.89821809353549	65.38955901889818	80.5847219831399	62.079365418021354	55.077175604401695	79.52987028233709	80.06925250159276	83.72184949783963	92.14990814404811	89.33343473422002	76.05333818525764	42.79780118382868	46.895267884202724	124.28697632104854	0.7503983811016326	3.291106401131671	16.226781281572386	13.735440356209693	-1.459722608032024	7.002189813619658	-0.5393822192556712	-3.6525969962468707	-12.620037861711026	-9.803564451882934	3.476532097079442	28.629	34.42330958099284	17.328738741021517	17.122894967681674	16.60402216164345	57.962382976965394
 1.wav	a	0.793	147.92800442836594	812.318	1367.417	2840.48	79.00143250419829	78.27220673769435	74.82932299625398	62.65789250974916	64.40427920678322	79.88429474918888	62.089381096407706	54.60986304535482	79.39653347311152	79.923898330492	83.17196459732145	92.02583830697208	88.47707073462328	76.20432174043245	42.786383741778195	46.963574199627026	121.62160762940516	0.7292257665039443	3.442883741440369	16.34353999444913	14.597153297415076	-0.8828622449905907	7.479518051052885	-0.5273648573804763	-3.248066266829454	-12.629304833860559	-9.080537261511765	3.1922117326790698	31.41	31.249438907958023	20.85310212457934	20.78366522557924	20.15376349326607	57.90552243604903
 1.wav	a	0.798	147.30167748807676	820.566	1380.427	2831.958	78.84268509942234	78.2631839717162	74.49421866485953	63.03574167750415	63.51014523045153	78.69339709791623	62.2578789265207	54.58124327144147	79.22661216320091	79.86601804537679	82.51316583568106	92.50347096765904	87.66232797019862	75.58213531305482	42.75841466703774	47.07661397917208	120.70390325424924	0.5795011277061377	3.7689653068566713	15.806943421918191	15.332539868970812	0.14928800150610755	7.676635655079231	-0.639405882175879	-2.647147790304274	-13.27685880445813	-8.435715806997706	3.6444768501460914	28.537	30.045909480895112	18.682009799802167	18.639372440860857	18.087920472521887	57.863908174380036
 1.wav	a	0.803	146.49771447429353	825.911	1395.14	2834.163	78.62734080218169	78.26396795501341	73.88673035262492	63.79999707375528	62.81605251827503	76.98610217991894	62.70511333335336	58.47061479357591	79.0012883835785	79.8234779933762	81.63135648471325	93.29894950704204	86.92883069932675	74.22077557482451	42.693322239281216	47.19956778798123	120.62295316910286	0.36337284716827867	4.37723760238849	14.827343728426413	15.811288283906663	1.6412386222627475	4.234498539777448	-0.8221896097977037	-1.8078784913370498	-14.297661123463541	-7.927542315748255	4.780512808753983	27.95	26.04050482265219	14.034139124521838	13.87628614771663	13.416860157307507	57.82617832708767
